date_production,site,ligne_production,type_piece,ordre_fabrication,quantite_produite,quantite_conforme,quantite_non_conforme,temps_cycle_min,delai_prevu_jours,delai_reel_jours,statut_livraison,type_anomalie,gravite_anomalie,cout_non_qualite,operateur_equipe,shift,taux_disponibilite_machine,temperature_machine,vibration_machine
2025-04-25,Rochefort,Ligne A320,Sous-ensemble composite,OF-2025-005653,55,53,2,39.32,8,8,À l'heure,Panne machine,Majeure,1104.52,Équipe Delta,Nuit,0.7446,74.9,4.56
2025-04-25,Montoir-de-Bretagne,Ligne A320,Panneau fuselage,OF-2025-008991,89,81,8,54.88,9,9,À l'heure,Défaut dimensionnel,Majeure,2520.98,Équipe Alpha,Nuit,0.9325,70.13,2.35
2025-04-25,Rochefort,Ligne Composite,Porte avion,OF-2024-003708,61,58,3,64.83,3,3,À l'heure,Retouche peinture,Majeure,1068.89,Équipe Delta,Nuit,0.9359,69.77,3.16
2025-04-25,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2025-006169,47,45,2,34.28,10,10,À l'heure,Écart documentaire,Mineure,991.17,Équipe Delta,Matin,0.9233,64.29,2.55
2025-04-25,Rochefort,Ligne A350,Plancher cabine,OF-2024-011666,74,72,2,43.83,2,8,En retard,Défaut dimensionnel,Mineure,798.06,Équipe Alpha,Matin,0.8932,70.28,2.59
2025-04-25,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2024-011400,62,59,3,59.17,7,13,En retard,Écart documentaire,Majeure,1079.51,Équipe Bravo,Matin,0.9006,68.9,2.86
2025-04-25,Montoir-de-Bretagne,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-006151,62,60,2,51.57,7,7,À l'heure,Retouche peinture,Mineure,784.83,Équipe Delta,Matin,0.9442,63.05,2.91
2025-04-25,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-010183,61,60,1,51.37,7,7,À l'heure,Défaut dimensionnel,Majeure,819.19,Équipe Charlie,Nuit,0.9595,70.07,2.32
2025-04-25,Casablanca,Ligne A330,Plancher cabine,OF-2025-002843,60,60,0,34.38,6,6,À l'heure,Aucune,Aucune,0.0,Équipe Delta,Matin,0.9127,70.67,2.7
2025-04-25,Casablanca,Ligne A330,Plancher cabine,OF-2024-009596,72,69,3,30.08,4,10,En retard,Retouche peinture,Mineure,1105.08,Équipe Bravo,Après-midi,0.9795,68.5,3.01
2025-04-25,Rochefort,Ligne A330,Plancher cabine,OF-2025-011729,63,58,5,,6,6,À l'heure,Défaut dimensionnel,Majeure,1845.11,Équipe Bravo,Après-midi,0.8873,69.16,2.68
2025-04-25,Casablanca,Ligne A320,Cadre structure,OF-2025-011311,59,57,2,39.75,5,5,À l'heure,Écart documentaire,Mineure,891.23,Équipe Charlie,Matin,0.9151,68.69,2.97
2025-04-25,Rochefort,Ligne Composite,Cadre structure,OF-2024-006318,74,73,1,54.55,4,8,En retard,Défaut dimensionnel,Mineure,406.3,Équipe Delta,Matin,0.9574,71.6,1.87
2025-04-25,Montoir-de-Bretagne,Ligne Composite,Porte avion,OF-2025-010181,75,73,2,73.45,10,10,À l'heure,Panne machine,Critique,1427.63,Équipe Charlie,Après-midi,0.8533,77.05,3.59
2025-04-25,Montoir-de-Bretagne,Ligne A350,Plancher cabine,OF-2025-001023,69,68,1,28.03,6,6,À l'heure,Contrôle qualité bloquant,Critique,1283.96,Équipe Alpha,Matin,0.9538,64.29,2.46
2025-04-26,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2025-004295,60,58,2,55.33,4,10,En retard,Contrôle qualité bloquant,Majeure,973.77,Équipe Bravo,Après-midi,0.973,63.75,2.97
2025-04-26,Montoir-de-Bretagne,Ligne A330,Sous-ensemble composite,OF-2025-009077,54,52,2,72.67,9,15,En retard,Panne machine,Majeure,1074.04,Équipe Delta,Matin,0.815,74.28,4.26
2025-04-26,Montoir-de-Bretagne,Ligne A330,Porte avion,OF-2025-006095,61,57,4,55.82,5,7,En retard,Contrôle qualité bloquant,Majeure,1851.9,Équipe Bravo,Nuit,0.8642,80.28,2.66
2025-04-26,Montoir-de-Bretagne,Ligne Composite,Plancher cabine,OF-2024-004314,66,62,4,46.07,3,2,À l'heure,Non-conformité matière,Majeure,2321.42,Équipe Alpha,Nuit,0.9846,66.55,2.47
2025-04-26,Casablanca,Ligne A320,Cadre structure,OF-2025-003151,56,54,2,34.01,2,2,À l'heure,Défaut assemblage,Majeure,1118.08,Équipe Bravo,Après-midi,0.9244,66.62,3.2
2025-04-26,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-009005,66,63,3,60.11,3,3,À l'heure,Retouche peinture,Mineure,763.31,Équipe Alpha,Après-midi,0.9782,59.57,1.32
2025-04-26,Montoir-de-Bretagne,Ligne A320,Porte avion,OF-2025-011593,69,67,2,56.87,11,12,En retard,Contrôle qualité bloquant,Majeure,1115.8,Équipe Alpha,Matin,0.8921,69.8,2.97
2025-04-26,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-001040,88,83,5,59.41,9,9,À l'heure,Non-conformité matière,Mineure,1770.96,Équipe Bravo,Matin,0.995,73.71,2.55
2025-04-26,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-006165,71,69,2,57.89,3,3,À l'heure,Non-conformité matière,Mineure,980.71,Équipe Delta,Nuit,0.8774,73.04,2.61
2025-04-26,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-011987,64,60,4,63.42,9,15,En retard,Panne machine,Majeure,1511.17,Équipe Alpha,Après-midi,0.7824,72.6,3.27
2025-04-26,Rochefort,Ligne A330,Cadre structure,OF-2025-001421,69,65,4,38.74,4,4,À l'heure,Écart documentaire,Majeure,1477.06,Équipe Bravo,Nuit,0.8988,61.53,1.74
2025-04-26,Montoir-de-Bretagne,Ligne A320,Sous-ensemble composite,OF-2024-006010,71,68,3,65.57,5,5,À l'heure,Défaut assemblage,Majeure,1740.47,Équipe Bravo,Nuit,0.8764,71.61,2.24
2025-04-26,Montoir-de-Bretagne,Ligne Composite,Porte avion,OF-2025-000955,68,60,8,68.11,9,11,En retard,Défaut assemblage,Majeure,2793.7,Équipe Alpha,Après-midi,0.9235,56.36,1.91
2025-04-26,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2024-011032,69,65,4,51.94,7,12,En retard,Défaut assemblage,Mineure,1901.54,Équipe Charlie,Après-midi,0.9782,61.3,3.38
2025-04-26,Casablanca,Ligne A320,Plancher cabine,OF-2024-007052,76,74,2,53.95,9,9,À l'heure,Retouche peinture,Majeure,1168.92,Équipe Delta,Après-midi,0.8485,70.38,2.03
2025-04-27,Montoir-de-Bretagne,Ligne A350,Plancher cabine,OF-2025-001085,57,57,0,,7,9,En retard,Aucune,Aucune,0.0,Équipe Alpha,Nuit,0.9245,74.39,3.43
2025-04-27,Casablanca,Ligne A320,Panneau fuselage,OF-2024-001126,74,70,4,44.0,6,6,À l'heure,Défaut assemblage,Mineure,1185.26,Équipe Bravo,Après-midi,0.8433,67.0,2.96
2025-04-27,Casablanca,Ligne Composite,Panneau fuselage,OF-2025-002131,62,59,3,74.31,9,13,En retard,Écart documentaire,Majeure,1238.69,Équipe Bravo,Nuit,0.995,72.29,2.08
2025-04-27,Casablanca,Ligne A320,Cadre structure,OF-2025-003285,71,67,4,39.06,2,2,À l'heure,Défaut assemblage,Majeure,1610.11,Équipe Charlie,Matin,0.9012,63.86,2.71
2025-04-27,Casablanca,Ligne A320,Plancher cabine,OF-2024-009636,53,52,1,42.59,6,6,À l'heure,Écart documentaire,Mineure,458.36,Équipe Charlie,Après-midi,0.8817,70.16,2.67
2025-04-27,Montoir-de-Bretagne,Ligne A320,Panneau fuselage,OF-2025-009673,66,65,1,67.91,7,9,En retard,Retouche peinture,Mineure,274.88,Équipe Bravo,Matin,0.8805,71.86,2.71
2025-04-27,Rochefort,Ligne A330,Sous-ensemble composite,OF-2025-011631,75,72,3,66.61,8,9,En retard,Panne machine,Critique,1625.57,Équipe Alpha,Matin,0.8945,60.27,4.43
2025-04-27,Casablanca,Ligne Composite,Porte avion,OF-2025-005587,51,49,2,70.81,8,8,À l'heure,Contrôle qualité bloquant,Critique,1766.98,Équipe Charlie,Nuit,0.8899,65.78,3.36
2025-04-27,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2025-007451,67,61,6,36.58,6,6,À l'heure,Défaut dimensionnel,Mineure,1611.56,Équipe Delta,Matin,0.9223,76.62,2.95
2025-04-27,Rochefort,Ligne A330,Panneau fuselage,OF-2024-002614,66,66,0,64.29,7,7,À l'heure,Aucune,Aucune,0.0,Équipe Charlie,Nuit,0.9311,53.72,2.1
2025-04-27,Montoir-de-Bretagne,Ligne Composite,Sous-ensemble composite,OF-2024-002274,49,43,6,65.14,3,8,En retard,Défaut dimensionnel,Mineure,1364.21,Équipe Charlie,Après-midi,0.8481,65.65,2.21
2025-04-27,Rochefort,Ligne Composite,Sous-ensemble composite,OF-2024-005158,62,57,5,79.43,3,3,À l'heure,Écart documentaire,Critique,2116.04,Équipe Charlie,Nuit,0.928,69.89,2.35
2025-04-27,Montoir-de-Bretagne,Ligne A320,Panneau fuselage,OF-2024-011138,75,70,5,60.18,4,10,En retard,Écart documentaire,Mineure,1511.59,Équipe Bravo,Nuit,0.8765,58.41,2.37
2025-04-27,Rochefort,Ligne A320,Sous-ensemble composite,OF-2024-006954,51,50,1,50.16,7,12,En retard,Non-conformité matière,Majeure,726.0,Équipe Charlie,Après-midi,0.9433,70.15,1.8
2025-04-27,Rochefort,Ligne A320,Cadre structure,OF-2024-002532,52,50,2,25.79,2,7,En retard,Écart documentaire,Mineure,796.42,Équipe Charlie,Après-midi,0.995,52.92,2.09
2025-04-27,Casablanca,Ligne A320,Plancher cabine,OF-2024-009848,67,63,4,51.27,4,9,En retard,Retouche peinture,Majeure,1450.12,Équipe Bravo,Après-midi,0.9408,66.05,1.82
2025-04-27,Casablanca,Ligne A350,Sous-ensemble composite,OF-2024-008546,57,54,3,76.21,3,3,À l'heure,Défaut assemblage,Majeure,1099.21,Équipe Alpha,Matin,0.9773,69.97,2.2
2025-04-27,Montoir-de-Bretagne,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-002071,67,60,7,44.53,11,11,À l'heure,Défaut dimensionnel,Mineure,2695.95,Équipe Delta,Matin,0.8532,74.23,2.73
2025-04-28,Rochefort,Ligne A330,Sous-ensemble composite,OF-2025-006549,73,69,4,57.46,2,2,À l'heure,Non-conformité matière,Majeure,1464.32,Équipe Delta,Nuit,0.995,73.81,2.36
2025-04-28,Casablanca,Ligne Composite,Cadre structure,OF-2024-011556,67,65,2,55.96,9,9,À l'heure,Retouche peinture,Mineure,859.52,Équipe Charlie,Nuit,0.8752,71.76,2.12
2025-04-28,Rochefort,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2025-009813,54,51,3,66.87,2,3,En retard,Défaut dimensionnel,Majeure,1252.32,Équipe Delta,Matin,0.9201,61.04,1.88
2025-04-28,Casablanca,Ligne A320,Plancher cabine,OF-2024-000836,71,70,1,52.87,5,9,En retard,Défaut dimensionnel,Majeure,770.61,Équipe Charlie,Nuit,0.9068,70.6,2.13
2025-04-28,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-011939,72,67,5,36.21,8,10,En retard,Non-conformité matière,Mineure,1418.92,Équipe Charlie,Après-midi,0.9274,65.44,2.95
2025-04-28,Montoir-de-Bretagne,Ligne A330,Plancher cabine,OF-2024-002310,70,66,4,40.47,5,5,À l'heure,Contrôle qualité bloquant,Majeure,2132.76,Équipe Charlie,Après-midi,0.958,70.49,3.22
2025-04-28,Casablanca,Ligne A350,Porte avion,OF-2025-007503,52,52,0,55.74,10,9,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Après-midi,0.9084,67.2,0.8
2025-04-28,Casablanca,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2024-007138,84,79,5,52.58,11,12,En retard,Retouche peinture,Mineure,1207.09,Équipe Bravo,Matin,0.851,67.91,2.5
2025-04-28,Rochefort,Ligne A320,Plancher cabine,OF-2024-005666,47,44,3,37.66,11,11,À l'heure,Contrôle qualité bloquant,Critique,1880.94,Équipe Delta,Après-midi,0.8666,72.36,2.35
2025-04-28,Casablanca,Ligne A350,Cadre structure,OF-2025-008607,81,75,6,42.49,8,9,En retard,Non-conformité matière,Majeure,1374.24,Équipe Alpha,Après-midi,0.8178,77.16,1.98
2025-04-28,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2025-011885,55,52,3,39.72,10,10,À l'heure,Non-conformité matière,Critique,1845.85,Équipe Delta,Nuit,0.9322,61.78,2.24
2025-04-28,Rochefort,Ligne A350,Panneau fuselage,OF-2025-011963,78,72,6,71.23,2,8,En retard,Défaut dimensionnel,Mineure,2130.05,Équipe Bravo,Matin,0.9534,66.41,2.13
2025-04-28,Montoir-de-Bretagne,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-010653,62,57,5,33.6,4,4,À l'heure,Écart documentaire,Mineure,2015.12,Équipe Delta,Matin,0.9325,79.13,1.93
2025-04-28,Casablanca,Ligne A320,Plancher cabine,OF-2025-001341,62,59,3,24.57,9,9,À l'heure,Défaut dimensionnel,Majeure,1356.58,Équipe Alpha,Matin,0.9905,66.08,2.96
2025-04-28,Casablanca,Ligne A350,Panneau fuselage,OF-2024-009070,59,58,1,39.89,4,3,À l'heure,Défaut assemblage,Mineure,468.88,Équipe Charlie,Matin,0.8781,67.97,2.36
2025-04-28,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-006448,62,62,0,47.49,8,8,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Après-midi,0.8973,76.73,3.16
2025-04-28,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-002838,74,72,2,60.71,7,7,À l'heure,Écart documentaire,Mineure,819.98,Équipe Delta,Matin,0.9264,71.97,2.39
2025-04-28,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-002828,72,69,3,60.07,4,5,En retard,Retouche peinture,Majeure,1391.02,Équipe Charlie,Après-midi,0.8887,70.55,2.68
2025-04-28,Casablanca,Ligne A320,Panneau fuselage,OF-2025-011085,59,55,4,56.01,2,2,À l'heure,Défaut assemblage,Mineure,1163.52,Équipe Charlie,Nuit,0.925,59.49,2.98
2025-04-28,Casablanca,Ligne Composite,Cadre structure,OF-2024-011468,66,60,6,60.49,8,9,En retard,Défaut assemblage,Mineure,2556.92,Équipe Delta,Après-midi,0.9326,62.63,3.18
2025-04-28,Montoir-de-Bretagne,Ligne A320,Cadre structure,OF-2025-001505,72,69,3,32.73,11,10,À l'heure,Non-conformité matière,Majeure,1164.04,Équipe Delta,Matin,0.9115,59.09,2.1
2025-04-28,Rochefort,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-005959,60,55,5,36.76,8,9,En retard,Panne machine,Majeure,1962.67,Équipe Bravo,Matin,0.7336,78.84,3.55
2025-04-28,Casablanca,Ligne A350,Cadre structure,OF-2025-002161,71,68,3,56.04,9,9,À l'heure,Retouche peinture,Mineure,833.9,Équipe Alpha,Matin,0.8184,76.02,2.23
2025-04-28,Montoir-de-Bretagne,Ligne Composite,Panneau fuselage,OF-2024-001352,75,72,3,48.08,9,9,À l'heure,Non-conformité matière,Mineure,1031.46,Équipe Alpha,Nuit,0.8734,65.86,1.48
2025-04-29,Montoir-de-Bretagne,Ligne A320,Cadre structure,OF-2024-006908,53,50,3,41.25,11,11,À l'heure,Défaut assemblage,Mineure,1000.41,Équipe Delta,Après-midi,0.9585,68.14,1.74
2025-04-29,Rochefort,Ligne Assemblage Cabine,Plancher cabine,OF-2025-006423,73,72,1,26.76,9,9,À l'heure,Panne machine,Majeure,756.66,Équipe Bravo,Après-midi,0.8392,72.33,3.66
2025-04-29,Casablanca,Ligne Composite,Porte avion,OF-2024-011876,71,66,5,77.83,11,12,En retard,Défaut assemblage,Critique,2439.61,Équipe Bravo,Matin,0.9535,74.11,1.51
2025-04-29,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-002486,57,52,5,50.41,4,4,À l'heure,Non-conformité matière,Majeure,2239.28,Équipe Alpha,Matin,0.9509,73.76,2.38
2025-04-29,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2024-004040,71,68,3,27.6,11,11,À l'heure,Retouche peinture,Majeure,1376.93,Équipe Bravo,Nuit,0.9883,63.87,3.03
2025-04-29,Rochefort,Ligne A320,Plancher cabine,OF-2024-008388,72,70,2,31.67,6,5,À l'heure,Écart documentaire,Mineure,1018.17,Équipe Charlie,Matin,0.8817,77.71,1.6
2025-04-29,Rochefort,Ligne Composite,Cadre structure,OF-2025-001633,59,56,3,64.47,6,6,À l'heure,Défaut dimensionnel,Mineure,1101.44,Équipe Charlie,Matin,0.9476,66.38,1.94
2025-04-29,Rochefort,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2024-006184,53,52,1,57.23,11,11,À l'heure,Écart documentaire,Mineure,382.03,Équipe Bravo,Matin,0.8968,63.18,1.76
2025-04-29,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-011609,58,57,1,45.51,10,10,À l'heure,Défaut dimensionnel,Mineure,521.1,Équipe Alpha,Matin,0.8992,73.18,1.24
2025-04-29,Rochefort,Ligne A320,Plancher cabine,OF-2024-000234,62,60,2,28.08,4,9,En retard,Panne machine,Majeure,970.41,Équipe Charlie,Matin,0.8618,62.55,2.87
2025-04-29,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2024-006394,80,74,6,75.1,11,13,En retard,Écart documentaire,Critique,2756.31,Équipe Delta,Nuit,0.9229,63.7,2.69
2025-04-29,Rochefort,Ligne A330,Cadre structure,OF-2025-003007,59,57,2,41.62,6,6,À l'heure,Défaut assemblage,Majeure,1068.77,Équipe Charlie,Matin,0.9137,72.69,1.11
2025-04-29,Casablanca,Ligne A330,Panneau fuselage,OF-2025-011197,48,46,2,51.42,11,11,À l'heure,Défaut dimensionnel,Mineure,617.39,Équipe Bravo,Après-midi,0.8542,60.29,1.67
2025-04-29,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-006522,52,51,1,36.86,6,5,À l'heure,Contrôle qualité bloquant,Majeure,674.02,Équipe Delta,Après-midi,0.9922,70.43,2.77
2025-04-29,Casablanca,Ligne A320,Porte avion,OF-2024-001528,74,68,6,51.32,2,1,À l'heure,Non-conformité matière,Mineure,1834.65,Équipe Delta,Matin,0.9143,72.87,1.91
2025-04-29,Casablanca,Ligne A330,Porte avion,OF-2024-004012,51,49,2,67.64,6,12,En retard,Contrôle qualité bloquant,Majeure,1348.97,Équipe Delta,Matin,0.9398,70.17,2.56
2025-04-29,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-003583,47,45,2,42.24,4,5,En retard,Non-conformité matière,Mineure,719.94,Équipe Delta,Matin,0.9223,67.01,2.41
2025-04-29,Rochefort,Ligne A330,Plancher cabine,OF-2024-011178,44,43,1,57.09,7,8,En retard,Écart documentaire,Mineure,468.26,Équipe Delta,Nuit,0.9873,66.37,2.86
2025-04-29,Rochefort,Ligne A330,Panneau fuselage,OF-2024-000440,58,53,5,60.67,3,7,En retard,Défaut dimensionnel,Majeure,1858.77,Équipe Alpha,Matin,0.9699,80.01,1.89
2025-04-30,Casablanca,Ligne Assemblage Cabine,Cadre structure,OF-2025-004467,64,63,1,34.79,11,11,À l'heure,Contrôle qualité bloquant,Majeure,769.72,Équipe Charlie,Après-midi,0.9081,67.51,2.63
2025-04-30,Casablanca,Ligne Composite,Panneau fuselage,OF-2025-004057,61,57,4,72.82,5,11,En retard,Retouche peinture,Critique,2328.09,Équipe Bravo,Après-midi,0.868,62.04,2.28
2025-04-30,Casablanca,Ligne A320,Panneau fuselage,OF-2024-007180,79,77,2,49.02,6,6,À l'heure,Défaut assemblage,Majeure,1060.18,Équipe Charlie,Matin,0.8643,64.63,2.51
2025-04-30,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-000886,54,47,7,45.88,6,6,À l'heure,Écart documentaire,Majeure,3355.12,Équipe Alpha,Matin,0.9449,64.21,1.61
2025-04-30,Casablanca,Ligne A350,Plancher cabine,OF-2024-007050,73,66,7,38.65,4,4,À l'heure,Non-conformité matière,Mineure,2029.82,Équipe Alpha,Matin,0.9217,62.64,2.5
2025-04-30,Casablanca,Ligne A330,Panneau fuselage,OF-2025-005519,57,54,3,55.19,2,5,En retard,Contrôle qualité bloquant,Majeure,1790.77,Équipe Alpha,Nuit,0.9373,74.47,2.59
2025-04-30,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-009086,53,48,5,63.63,2,6,En retard,Retouche peinture,Majeure,2312.71,Équipe Delta,Après-midi,0.9082,79.24,1.79
2025-04-30,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2024-003210,58,52,6,52.26,7,8,En retard,Défaut dimensionnel,Majeure,2274.81,Équipe Bravo,Matin,0.8964,72.85,2.82
2025-04-30,Rochefort,Ligne A320,Cadre structure,OF-2024-009506,61,61,0,38.95,11,15,En retard,Aucune,Aucune,0.0,Équipe Delta,Matin,0.9263,55.1,3.16
2025-04-30,Casablanca,Ligne Composite,Cadre structure,OF-2024-001364,69,67,2,55.52,11,11,À l'heure,Retouche peinture,Critique,1721.01,Équipe Delta,Matin,0.9385,69.57,2.9
2025-04-30,Casablanca,Ligne A320,Panneau fuselage,OF-2024-006372,56,54,2,55.08,5,4,À l'heure,Écart documentaire,Mineure,737.22,Équipe Alpha,Matin,0.9431,62.15,1.92
2025-04-30,Casablanca,Ligne A330,Cadre structure,OF-2024-002184,76,74,2,29.5,9,11,En retard,Contrôle qualité bloquant,Majeure,885.57,Équipe Bravo,Matin,0.8952,64.57,2.38
2025-05-01,Rochefort,Ligne A350,Sous-ensemble composite,OF-2024-009410,67,56,11,,11,11,À l'heure,Défaut dimensionnel,Majeure,5916.03,Équipe Bravo,Nuit,0.995,70.82,2.93
2025-05-01,Rochefort,Ligne Assemblage Cabine,Sous-ensemble composite,OF-2024-001140,63,61,2,56.2,4,4,À l'heure,Écart documentaire,Mineure,460.41,Équipe Bravo,Après-midi,0.9168,82.49,0.8
2025-05-01,Casablanca,Ligne A320,Plancher cabine,OF-2025-006725,60,56,4,48.54,2,2,À l'heure,Défaut assemblage,Majeure,1588.1,Équipe Bravo,Après-midi,0.9422,69.87,3.0
2025-05-01,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-011122,70,65,5,51.57,4,4,À l'heure,Retouche peinture,Critique,2390.32,Équipe Delta,Matin,0.995,72.74,1.75
2025-05-01,Casablanca,Ligne A330,Porte avion,OF-2024-007048,72,68,4,53.17,2,8,En retard,Non-conformité matière,Critique,1835.18,Équipe Charlie,Nuit,0.8711,69.32,2.02
2025-05-01,Casablanca,Ligne A320,Porte avion,OF-2025-008587,81,74,7,60.74,11,16,En retard,Retouche peinture,Majeure,2402.74,Équipe Alpha,Nuit,0.9601,61.98,2.61
2025-05-01,Casablanca,Ligne A330,Panneau fuselage,OF-2024-007874,61,54,7,50.99,11,11,À l'heure,Écart documentaire,Mineure,1660.0,Équipe Delta,Matin,0.9709,59.96,2.89
2025-05-01,Montoir-de-Bretagne,Ligne A350,Porte avion,OF-2025-001867,48,43,5,66.04,7,7,À l'heure,Défaut dimensionnel,Mineure,1706.1,Équipe Delta,Nuit,0.8942,70.37,2.62
2025-05-01,Casablanca,Ligne A320,Porte avion,OF-2024-010796,63,61,2,52.39,7,7,À l'heure,Contrôle qualité bloquant,Majeure,1030.95,Équipe Bravo,Matin,0.9862,58.44,2.5
2025-05-01,Rochefort,Ligne A350,Cadre structure,OF-2025-007087,70,69,1,60.89,4,4,À l'heure,Écart documentaire,Mineure,520.59,Équipe Charlie,Matin,0.8386,73.37,2.56
2025-05-01,Casablanca,Ligne A330,Plancher cabine,OF-2024-001366,80,77,3,40.01,9,13,En retard,Non-conformité matière,Mineure,1224.3,Équipe Alpha,Matin,0.9503,65.67,3.04
2025-05-01,Casablanca,Ligne A330,Sous-ensemble composite,OF-2025-003415,72,68,4,41.13,2,3,En retard,Contrôle qualité bloquant,Majeure,1647.92,Équipe Charlie,Matin,0.989,69.78,1.81
2025-05-01,Rochefort,Ligne Composite,Panneau fuselage,OF-2024-007302,68,64,4,68.9,5,5,À l'heure,Défaut assemblage,Majeure,1749.21,Équipe Bravo,Après-midi,0.8913,64.74,2.78
2025-05-01,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-010401,56,50,6,46.34,8,7,À l'heure,Contrôle qualité bloquant,Majeure,1626.57,Équipe Bravo,Nuit,0.9346,62.41,3.52
2025-05-02,Casablanca,Ligne A350,Sous-ensemble composite,OF-2024-003824,60,56,4,63.0,4,4,À l'heure,Non-conformité matière,Mineure,1406.34,Équipe Alpha,Après-midi,0.9471,64.75,2.57
2025-05-02,Casablanca,Ligne Composite,Panneau fuselage,OF-2025-001171,50,45,5,62.29,2,6,En retard,Écart documentaire,Majeure,2077.84,Équipe Charlie,Nuit,0.8886,67.19,2.35
2025-05-02,Rochefort,Ligne Composite,Porte avion,OF-2024-000736,82,72,10,61.09,8,8,À l'heure,Contrôle qualité bloquant,Majeure,3725.36,Équipe Alpha,Matin,0.9421,62.7,2.39
2025-05-02,Rochefort,Ligne A320,Sous-ensemble composite,OF-2025-011203,67,61,6,46.73,10,16,En retard,Non-conformité matière,Majeure,2122.5,Équipe Charlie,Après-midi,0.8813,68.21,3.23
2025-05-02,Montoir-de-Bretagne,Ligne A350,Plancher cabine,OF-2025-005495,60,58,2,41.83,8,11,En retard,Défaut dimensionnel,Mineure,626.98,Équipe Alpha,Matin,0.9055,77.49,2.39
2025-05-02,Casablanca,Ligne A330,Cadre structure,OF-2025-010625,78,77,1,49.63,5,4,À l'heure,Contrôle qualité bloquant,Critique,1198.44,Équipe Charlie,Après-midi,0.7966,68.7,1.76
2025-05-02,Montoir-de-Bretagne,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-001889,81,78,3,53.09,2,6,En retard,Défaut assemblage,Majeure,1798.46,Équipe Alpha,Nuit,0.8539,69.58,2.97
2025-05-02,Casablanca,Ligne A330,Plancher cabine,OF-2025-001927,53,49,4,63.54,5,5,À l'heure,Défaut assemblage,Mineure,1126.56,Équipe Bravo,Matin,0.9212,70.09,2.14
2025-05-02,Casablanca,Ligne Assemblage Cabine,Plancher cabine,OF-2024-002478,73,71,2,26.75,11,11,À l'heure,Défaut dimensionnel,Mineure,907.51,Équipe Bravo,Après-midi,0.8632,70.09,2.38
2025-05-02,Casablanca,Ligne A330,Panneau fuselage,OF-2024-008484,68,60,8,51.26,5,10,En retard,Défaut dimensionnel,Critique,3888.35,Équipe Bravo,Matin,0.7924,80.0,1.88
2025-05-02,Casablanca,Ligne A350,Sous-ensemble composite,OF-2025-010463,66,59,7,70.96,4,7,En retard,Contrôle qualité bloquant,Majeure,3402.36,Équipe Alpha,Après-midi,0.9018,54.91,1.83
2025-05-02,Rochefort,Ligne A350,Plancher cabine,OF-2024-003628,55,54,1,49.35,4,4,À l'heure,Défaut dimensionnel,Critique,1331.97,Équipe Alpha,Après-midi,0.9237,65.32,2.61
2025-05-02,Casablanca,Ligne A350,Plancher cabine,OF-2024-009918,61,55,6,45.48,11,13,En retard,Retouche peinture,Mineure,1423.83,Équipe Alpha,Matin,0.995,61.99,2.25
2025-05-02,Rochefort,Ligne A350,Cadre structure,OF-2025-002577,43,42,1,59.6,11,11,À l'heure,Défaut assemblage,Majeure,854.11,Équipe Bravo,Après-midi,0.9026,76.64,1.94
2025-05-02,Montoir-de-Bretagne,Ligne A350,Panneau fuselage,OF-2024-008928,44,41,3,80.78,3,2,À l'heure,Contrôle qualité bloquant,Majeure,1310.59,Équipe Delta,Matin,0.9685,66.67,2.78
